name_track,name_artist,genre,type,year
Crîtto de lâ Nabahâ,Califato ¾,electronic,track,2019
Historia de un amor,Califato ¾,electronic,track,2023
Asereje,Jean Massey,electronic,track,2023
More Love - Rampa &ME Remix,Moderat,electronic,track,2023
Rosas Techno,Will C,electronic,track,2023
Me Duele,Bomba Estéreo,electronic,track,2022
ALLÁ ARRIBITA,Rodrigo Cuevas,electronic,track,2023
Praise You (Radio Edit),Fatboy Slim,electronic,track,2023
Ride Or Die,Sevdaliza,electronic,track,2023
CÓMO YE?!,Rodrigo Cuevas,electronic,track,2023
I've Arrived (with Tomike),Obskür,electronic,track,2024
Neverender,Justice,electronic,track,2024
Si Antes Te Hubiera Conocido Techno,Will C,electronic,track,2024
Xiringüelu,Rodrigo Cuevas,electronic,track,2019
Baiana - Radio Edit,Space Motion,electronic,track,2024
Tó ba a çalîh bien mamá (feat. Queralt Lahoz),Califato ¾,electronic,track,2021
U Are My High (with Future),DJ Snake,electronic,track,2021
Perfecta (Versión 2023),Miranda!,electronic,track,2023
"Alibi Pt. 2 (with Anitta, Pabllo Vittar & Yseult)",Sevdaliza,electronic,track,2024
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake,electronic,track,2021
PINTORA (feat. La Plazuela),Califato ¾,electronic,track,2024
Best of Me - Radio Edit,ARTBAT,electronic,track,2020
No Goodbye,Paul Kalkbrenner,electronic,track,2019
QUEREME,LOUTA,electronic,track,2022
MÁS ANIMAL (feat. iLe),Rodrigo Cuevas,electronic,track,2023
El Brillo - Radio Edit,MËSTIZA,electronic,track,2021
Abu Simbel,WhoMadeWho,electronic,track,2021
Apologize (Techno),Anthony Keyrouz,electronic,track,2023
Muerte en Motilleja,Rodrigo Cuevas,electronic,track,2019
El Flamenco,MËSTIZA,electronic,track,2023
Cooler Than Me,Lucky Luke,electronic,track,2019
Pasodoble Techno,Will C,electronic,track,2024
bamboleo techno - Radio Edit,Will C,electronic,track,2023
La Magia de Tu Melena,Rodrigo Cuevas,electronic,track,2021
Uno los Dos,Miranda!,electronic,track,2023
Young And Beautiful - Afro House Version,Anthony Keyrouz,electronic,track,2024
Teka (with Peso Pluma),DJ Snake,electronic,track,2024
Neverender - Rampa Remix,Justice,electronic,track,2024
Bayside - Radio Edit,Obskür,electronic,track,2020
Life,Jamie xx,electronic,track,2024
Jhay Cortez - Tokyo (Broken Lip Re-Work),Broken Lip,electronic,track,2022
Shootout,Izzamuzzic,electronic,track,2022
Eko Electronic Is a Genre,Razaq El Toro,electronic,album,2020
House Music: Exploring the Dynamic World of Electronic Dance Genre,Happy Birthday to You Music,electronic,album,2024
Escape (A Walk Through Electronic Genres),La Claud,electronic,album,2019
Electronic Grace 2,Genre-Benders,electronic,album,2024
Electronic Grace,Genre-Benders,electronic,album,2024
Electronic Upbeat,Genre Juggler,electronic,album,2024
25 Years in Electronic Dance Music (A Multi Genre EDM Journey),Nivanoise,electronic,album,2024
A Mí,Rels B,r&b,track,2019
Hace Mucho Tiempo,Ele A El Dominio,r&b,track,2020
lo que hay x aquí,Rels B,r&b,track,2023
cómo dormiste?,Rels B,r&b,track,2022
I Don't Wanna Wait,David Guetta,r&b,track,2024
Veneno,Delaossa,r&b,track,2020
OA,Anuel AA,r&b,track,2023
Hasta Que Dios Diga,Anuel AA,r&b,track,2020
Casanova,Soolking,r&b,track,2023
Blinding Lights,The Weeknd,r&b,track,2020
BESO,ROSALÍA,r&b,track,2023
I'm Good (Blue),David Guetta,r&b,track,2022
La Vida Sin Ti,Rels B,r&b,track,2024
Timeless (feat. Playboi Carti),The Weeknd,r&b,track,2024
Thank You (Not So Bad),Dimitri Vegas & Like Mike,r&b,track,2023
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,r&b,track,2023
¿Qué Nos Pasó?,Anuel AA,r&b,track,2022
La Última Canción,Rels B,r&b,track,2020
a new star (2 0 2 4),Rels B,r&b,track,2024
Baby Don't Hurt Me,David Guetta,r&b,track,2023
DESPECHÁ,ROSALÍA,r&b,track,2022
Save Your Tears,The Weeknd,r&b,track,2020
23 Preguntas,Anuel AA,r&b,track,2021
DENIAL IS A RIVER,Doechii,r&b,track,2024
DESPECHÁ,ROSALÍA,r&b,track,2022
China,Anuel AA,r&b,track,2019
pa quererte,Rels B,r&b,track,2022
Un Rodeoooo,Rels B,r&b,track,2023
El Manual,Anuel AA,r&b,track,2020
qué le pasa conmigo?,Nicki Nicole,r&b,track,2023
Lejos,Delaossa,r&b,track,2020
Esa Cruz,Anuel AA,r&b,track,2021
Alibi (with Pabllo Vittar & Yseult),Sevdaliza,r&b,track,2024
Cuaderno,Dalex,r&b,track,2019
No Podemos - Remix,Ele A El Dominio,r&b,track,2019
Pa Mí - Remix,Dalex,r&b,track,2019
SIN MIRAR LAS SEÑALES,Rels B,r&b,track,2019
Omega (feat. Ralphie Choo),ROSALÍA,r&b,track,2024
Dancing In The Flames,The Weeknd,r&b,track,2024
When We Were Young (The Logical Song),David Guetta,r&b,track,2023
La Placita,Delaossa,r&b,track,2019
Keii,Anuel AA,r&b,track,2020
LA FAMA,ROSALÍA,r&b,track,2022
Hola - Remix,Dalex,r&b,track,2022
Un Desperdicio,Rels B,r&b,track,2024
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,The Weeknd,r&b,track,2020
"Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa)",Sevdaliza,r&b,track,2024
Como Antes,Rels B,r&b,track,2021
Mas Rica Que Ayer,Anuel AA,r&b,track,2023
SHORTY QUE TE VAYA BN <3,Rels B,r&b,track,2021
The Genre Box,Rioleval,r&b,album,2022
Birds of a Feather in Every Genre Remixed,itsharvit,r&b,album,2024
Genre Reveal Party,Baby Got Back Talk,r&b,album,2020
Rocks and Bankrolls,Genre,r&b,album,2022
Genre Roulette,F8L Beats,r&b,album,2021
"Bloedverziekend [Negen meesters van het genre, dat is schrikken! (Onverkort)]",Various Artists,r&b,album,2024
Roller Coaster Ride: a Wild Musical Journey Through the Genres of House,Various Artists,r&b,album,2022
"RMN (feat. Ry-lax, YUTO & DopeOnigiri)",GENRE BNDR,r&b,album,2023
Bubble Pop,All Genre Music Records,r&b,album,2024
Artoffact Records Presents: Misogyny is Not a Music Genre,Various Artists,r&b,album,2021
FVCK GENRES The Remixes,Various Artists,r&b,album,2021
PARTiES (YUDA Remix),GENRE BNDR,r&b,album,2021
"Modern Restaurant Music Mix, Vol. 2 (Genre Mix for All Ages)",Various Artists,r&b,album,2022
"Modern Restaurant Music Mix, Vol. 5 (Genre Mix for All Ages)",Various Artists,r&b,album,2024
"Modern Restaurant Music Mix, Vol. 3 (Genre Mix for All Ages) [Instrumental Edition]",Various Artists,r&b,album,2023
"Modern Restaurant Music Mix, Vol. 4 (Genre Mix For All Ages)",Various Artists,r&b,album,2023
FXXK GENRES,Various Artists,r&b,album,2019
Tag-Team Genres Showdown,Various Artists,r&b,album,2022
Multi Genre Part 2,Various Artists,r&b,album,2024
Summer Genre Mix,Various Artists,r&b,album,2024
PARTiES (MICHVEL JVMES Remix),GENRE BNDR,r&b,album,2021
The Various Genre & Remix Collection,BEAT GUN,r&b,album,2024
Ananya-Tagore Songs By The Legendary Artistes Of Other Genre,Rabindranath Tagore,r&b,album,2022
PARTiES,GENRE BNDR,r&b,album,2021
"Anti​-​Genre (Carte Blanche, Pt​.​ 2)",Remove,r&b,album,2021
My Refuge,Amichael Genre,r&b,album,2024
"normalexotic: Thai Shoegaze and Related Genre Compilation, Vol. 2",Various Artists,r&b,album,2021
"DELVE INDISTINCT: Thai Shoegaze and Related Genre Compilation, Vol. 3",Various Artists,r&b,album,2024
M'ma genre mara (Radio Edit),Styla Bando,r&b,album,2023
Lofi Beats for Studying/Relaxation,Mr Genre,r&b,album,2024
Le disque d'or de la musique de genre,Various Artists,r&b,album,2021
Homecooking: A Journey Through the Genres of House,Various Artists,r&b,album,2019
Stir Fry: the Genres Hottest Newcomers 2020,Various Artists,r&b,album,2020
Humanity is the Genre,Various Artists,r&b,album,2021
In House We Trust: A Journey Through the Genres of House,Various Artists,r&b,album,2020
I Don't Know What Genre I Wanna Be (Remastered),Starve The Ego,r&b,album,2022
